fecha,RH,TMP,WDR,WSP
2022-01-01,44.80836236933798,15.316545454545455,174.009765625,1.45859375
2022-01-02,47.47038327526133,14.371272727272729,190.49049429657796,2.20893536121673
2022-01-03,61.131768953068594,13.24754716981132,171.86166007905138,1.6630434782608696
2022-01-04,49.40642722117202,14.986534653465348,159.28309572301427,1.285743380855397
2022-01-05,42.85428051001821,15.608,156.11809523809524,1.4590476190476191
2022-01-06,48.82962962962963,15.497674418604651,171.984496124031,1.6296511627906978
2022-01-07,48.05882352941177,14.675099601593626,187.6322067594433,1.4675944333996025
2022-01-08,48.84317343173432,14.263899613899614,182.996138996139,1.835135135135135
2022-01-09,47.24682395644283,14.467741935483872,181.6628787878788,1.980492424242424
2022-01-10,57.69147005444646,12.610626185958257,210.70018975332067,2.88292220113852
2022-01-11,62.72452830188679,11.536614173228347,248.25494071146244,2.21205533596838
2022-01-12,55.91984732824427,12.5968,188.425572519084,1.8051526717557247
2022-01-13,48.020872865275145,13.086679920477136,202.6875,1.802840909090909
2022-01-14,44.36692015209125,13.564342629482072,183.68441064638785,1.5899239543726236
2022-01-15,48.657088122605366,13.640963855421688,188.68007662835248,1.8528735632183908
2022-01-16,68.10789980732177,11.519191919191918,180.2170542635659,1.7017441860465117
2022-01-17,61.208333333333336,13.016875,188.42261904761904,1.7188492063492062
2022-01-18,54.20039682539682,13.406041666666669,186.093253968254,1.379563492063492
2022-01-19,48.935483870967744,14.580715705765408,167.4819734345351,1.5144212523719165
2022-01-20,45.19886363636363,14.885515873015873,177.4659090909091,1.724242424242424
2022-01-21,54.86015325670498,14.38734939759036,171.04397705544932,2.703824091778203
2022-01-22,51.51901140684411,14.587450199203188,163.27566539923956,1.9403041825095055
2022-01-23,56.18026565464896,14.078330019880717,159.5673624288425,1.816318785578748
2022-01-24,51.45351043643264,14.762823061630218,185.82163187855787,2.818785578747628
2022-01-25,48.3415559772296,15.081908548707752,200.06451612903223,2.217267552182163
2022-01-26,49.979553903345725,14.977281553398058,168.77237354085602,2.010311284046693
2022-01-27,50.61627906976744,15.986083499005964,163.60851926977688,1.708316430020284
2022-01-28,54.34195933456562,14.60361216730038,177.07070707070707,2.3163636363636364
2022-01-29,54.756805807622506,13.626565464895636,188.0992063492064,2.010515873015873
2022-01-30,50.77049180327869,15.187809523809523,162.04780876494024,1.6181274900398406
2022-01-31,46.69573283858998,15.865142857142857,217.05219206680584,2.275365344467641
2022-02-01,40.90114068441065,15.758555133079849,184.05857740585773,2.1485355648535567
2022-02-02,46.00570342205323,15.751520912547528,160.67265469061877,2.3800399201596805
2022-02-03,43.820952380952384,16.05542857142857,159.7325349301397,2.2964071856287425
2022-02-04,41.525454545454544,15.960181818181818,176.55179282868525,2.20398406374502
2022-02-05,54.944954128440365,13.38954128440367,164.00603621730383,1.876861167002012
2022-02-06,53.18265682656826,14.420848708487084,182.97410358565736,1.6270916334661354
